quotation,speaker,cantica,canto
Maestro chi son quelle genti che l'aura nera sì gastiga,blank,Inferno,5
La prima di color di cui novelle tu vuo' saper,blank,Inferno,5
fu imperadrice di molte favelle A vizio di lussuria fu sì rotta che libito fé licito in sua legge per tòrre il biasmo in che era condotta Ell' è Semiramìs di cui si legge che succedette a Nino e fu sua sposa tenne la terra che 'l Soldan corregge L'altra è colei che s'ancise amorosa e ruppe fede al cener di Sicheo poi è Cleopatràs lussurïosa Elena vedi per cui tanto reo tempo si volse e vedi 'l grande Achille che con amore al fine combatteo Vedi Parìs Tristano,blank,Inferno,5
Poeta volontieri parlerei a que' due che 'nsieme vanno e paion sì al vento esser leggieri,blank,Inferno,5
Vedrai quando saranno più presso a noi e tu allor li priega per quello amor che i mena ed ei verranno,blank,Inferno,5
O anime affannate venite a noi parlar s'altri nol niega,blank,Inferno,5
O animal grazïoso e benigno che visitando vai per l'aere perso noi che tignemmo il mondo di sanguigno se fosse amico il re de l'universo noi pregheremmo lui de la tua pace poi c'hai pietà del nostro mal perverso Di quel che udire e che parlar vi piace noi udiremo e parleremo a voi mentre che 'l vento come fa ci tace Siede la terra dove nata fui su la marina dove 'l Po discende per aver pace co' seguaci sui Amor ch'al cor gentil ratto s'apprende prese costui de la bella persona che mi fu tolta e 'l modo ancor m'offende Amor ch'a nullo amato amar perdona mi prese del costui piacer sì forte che come vedi ancor non m'abbandona Amor condusse noi ad una morte Caina attende chi a vita ci spense,blank,Inferno,5
Che pense,blank,Inferno,5
Oh lasso quanti dolci pensier quanto disio menò costoro al doloroso passo,blank,Inferno,5
Francesca i tuoi martìri a lagrimar mi fanno tristo e pio Ma dimmi al tempo d'i dolci sospiri a che e come concedette amore che conosceste i dubbiosi disiri,blank,Inferno,5
Nessun maggior dolore che ricordarsi del tempo felice ne la miseria e ciò sa 'l tuo dottore Ma s'a conoscer la prima radice del nostro amor tu hai cotanto affetto dirò come colui che piange e dice Noi leggiavamo un giorno per diletto di Lancialotto come amor lo strinse soli eravamo e sanza alcun sospetto Per più fïate li occhi ci sospinse quella lettura e scolorocci il viso ma solo un punto fu quel che ci vinse Quando leggemmo il disïato riso esser basciato da cotanto amante questi che mai da me non fia diviso la bocca mi basciò tutto tremante Galeotto fu 'l libro e chi lo scrisse quel giorno più non vi leggemmo avante,blank,Inferno,5
O tu che se' per questo 'nferno tratto,blank,Inferno,6
riconoscimi se sai tu fosti prima ch'io disfatto fatto,blank,Inferno,6
L'angoscia che tu hai forse ti tira fuor de la mia mente sì che non par ch'i' ti vedessi mai Ma dimmi chi tu se' che 'n sì dolente loco se' messo e hai sì fatta pena che s'altra è maggio nulla è sì spiacente,blank,Inferno,6
La tua città ch'è piena d'invidia sì che già trabocca il sacco seco mi tenne in la vita serena Voi cittadini mi chiamaste Ciacco per la dannosa colpa de la gola come tu vedi a la pioggia mi fiacco E io anima trista non son sola ché tutte queste a simil pena stanno per simil colpa,blank,Inferno,6
Ciacco il tuo affanno mi pesa sì ch'a lagrimar mi 'nvita ma dimmi se tu sai a che verranno li cittadin de la città partita s'alcun v'è giusto e dimmi la cagione per che l'ha tanta discordia assalita,blank,Inferno,6
Dopo lunga tencione verranno al sangue e la parte selvaggia caccerà l'altra con molta offensione Poi appresso convien che questa caggia infra tre soli e che l'altra sormonti con la forza di tal che testé piaggia Alte terrà lungo tempo le fronti tenendo l'altra sotto gravi pesi come che di ciò pianga o che n'aonti Giusti son due e non vi sono intesi superbia invidia e avarizia sono le tre faville c'hanno i cuori accesi,blank,Inferno,6
Ancor vo' che mi 'nsegni e che di più parlar mi facci dono Farinata e 'l Tegghiaio che fuor sì degni Iacopo Rusticucci Arrigo e 'l Mosca e li altri ch'a ben far puoser li 'ngegni dimmi ove sono e fa ch'io li conosca ché gran disio mi stringe di savere se 'l ciel li addolcia o lo 'nferno li attosca,blank,Inferno,6
Ei son tra l'anime più nere diverse colpe giù li grava al fondo se tanto scendi là i potrai vedere Ma quando tu sarai nel dolce mondo priegoti ch'a la mente altrui mi rechi più non ti dico e più non ti rispondo,blank,Inferno,6
Più non si desta di qua dal suon de l'angelica tromba quando verrà la nimica podesta ciascun rivederà la trista tomba ripiglierà sua carne e sua figura udirà quel ch'in etterno rimbomba,blank,Inferno,6
Maestro esti tormenti crescerann' ei dopo la gran sentenza o fier minori o saran sì cocenti,blank,Inferno,6
Ritorna a tua scïenza che vuol quanto la cosa è più perfetta più senta il bene e così la doglienza Tutto che questa gente maladetta in vera perfezion già mai non vada di là più che di qua essere aspetta,blank,Inferno,6
Pape Satàn pape Satàn aleppe,blank,Inferno,7
Non ti noccia la tua paura ché poder ch'elli abbia non ci torrà lo scender questa roccia,blank,Inferno,7
Taci maladetto lupo consuma dentro te con la tua rabbia Non è sanza cagion l'andare al cupo vuolsi ne l'alto là dove Michele fé la vendetta del superbo strupo,blank,Inferno,7
Perché tieni,blank,Inferno,7
Perché burli,blank,Inferno,7
Maestro mio or mi dimostra che gente è questa e se tutti fuor cherci questi chercuti a la sinistra nostra,blank,Inferno,7
Tutti quanti fuor guerci sì de la mente in la vita primaia che con misura nullo spendio ferci Assai la voce lor chiaro l'abbaia quando vegnono a' due punti del cerchio dove colpa contraria li dispaia Questi fuor cherci che non han coperchio piloso al capo e papi e cardinali in cui usa avarizia il suo soperchio,blank,Inferno,7
Maestro tra questi cotali dovre' io ben riconoscere alcuni che furo immondi di cotesti mali,blank,Inferno,7
Vano pensiero aduni la sconoscente vita che i fé sozzi ad ogne conoscenza or li fa bruni In etterno verranno a li due cozzi questi resurgeranno del sepulcro col pugno chiuso e questi coi crin mozzi Mal dare e mal tener lo mondo pulcro ha tolto loro e posti a questa zuffa qual ella sia parole non ci appulcro Or puoi figliuol veder la corta buffa d'i ben che son commessi a la fortuna per che l'umana gente si rabuffa ché tutto l'oro ch'è sotto la luna e che già fu di quest' anime stanche non poterebbe farne posare una,blank,Inferno,7
Maestro mio,blank,Inferno,7
or mi dì anche questa fortuna di che tu mi tocche che è che i ben del mondo ha sì tra branche,blank,Inferno,7
Oh creature sciocche quanta ignoranza è quella che v'offende Or vo' che tu mia sentenza ne 'mbocche Colui lo cui saver tutto trascende fece li cieli e diè lor chi conduce sì ch'ogne parte ad ogne parte splende distribuendo igualmente la luce Similemente a li splendor mondani ordinò general ministra e duce che permutasse a tempo li ben vani di gente in gente e d'uno in altro sangue oltre la difension d'i senni umani per ch'una gente impera e l'altra langue seguendo lo giudicio di costei che è occulto come in erba l'angue Vostro saver non ha contasto a lei questa provede giudica e persegue suo regno come il loro li altri dèi Le sue permutazion non hanno triegue necessità la fa esser veloce sì spesso vien chi vicenda consegue Quest' è colei ch'è tanto posta in croce pur da color che le dovrien dar lode dandole biasmo a torto e mala voce ma ella s'è beata e ciò non ode con l'altre prime creature lieta volve sua spera e beata si gode Or discendiamo omai a maggior pieta già ogne stella cade che saliva quand' io mi mossi e 'l troppo star si vieta,blank,Inferno,7
Figlio or vedi l'anime di color cui vinse l'ira e anche vo' che tu per certo credi che sotto l'acqua è gente che sospira e fanno pullular quest' acqua al summo come l'occhio ti dice u' che s'aggira Fitti nel limo dicon 'Tristi fummo ne l'aere dolce che dal sol s'allegra portando dentro accidïoso fummo or ci attristiam ne la belletta negra' Quest' inno si gorgoglian ne la strozza ché dir nol posson con parola integra,blank,Inferno,7
Questo che dice e che risponde quell' altro foco e chi son quei che 'l fenno,blank,Inferno,8
Su per le sucide onde già scorgere puoi quello che s'aspetta se 'l fummo del pantan nol ti nasconde,blank,Inferno,8
Or se' giunta anima fella,blank,Inferno,8
Flegïàs Flegïàs tu gridi a vòto,blank,Inferno,8
a questa volta più non ci avrai che sol passando il loto,blank,Inferno,8
Chi se' tu che vieni anzi ora,blank,Inferno,8
S'i' vegno non rimango ma tu chi se' che sì se' fatto brutto,blank,Inferno,8
Vedi che son un che piango,blank,Inferno,8
Con piangere e con lutto spirito maladetto ti rimani ch'i' ti conosco ancor sie lordo tutto,blank,Inferno,8
Via costà con li altri cani,blank,Inferno,8
Alma sdegnosa benedetta colei che 'n te s'incinse Quei fu al mondo persona orgogliosa bontà non è che sua memoria fregi così s'è l'ombra sua qui furïosa Quanti si tegnon or là sù gran regi che qui staranno come porci in brago di sé lasciando orribili dispregi,blank,Inferno,8
Maestro molto sarei vago di vederlo attuffare in questa broda prima che noi uscissimo del lago,blank,Inferno,8
Avante che la proda ti si lasci veder tu sarai sazio di tal disïo convien che tu goda,blank,Inferno,8
A Filippo Argenti,blank,Inferno,8
Omai figliuolo s'appressa la città c'ha nome Dite coi gravi cittadin col grande stuolo,blank,Inferno,8
Maestro già le sue meschite là entro certe ne la valle cerno vermiglie come se di foco uscite fossero,blank,Inferno,8
Il foco etterno ch'entro l'affoca le dimostra rosse come tu vedi in questo basso inferno,blank,Inferno,8
Usciteci,blank,Inferno,8
qui è l'intrata,blank,Inferno,8
Chi è costui che sanza morte va per lo regno de la morta gente,blank,Inferno,8
Vien tu solo e quei sen vada che sì ardito intrò per questo regno Sol si ritorni per la folle strada pruovi se sa ché tu qui rimarrai che li ha' iscorta sì buia contrada,blank,Inferno,8
O caro duca mio che più di sette volte m'hai sicurtà renduta e tratto d'alto periglio che 'ncontra mi stette non mi lasciar,blank,Inferno,8
così disfatto e se 'l passar più oltre ci è negato ritroviam l'orme nostre insieme ratto,blank,Inferno,8
Non temer ché 'l nostro passo non ci può tòrre alcun da tal n'è dato Ma qui m'attendi e lo spirito lasso conforta e ciba di speranza buona ch'i' non ti lascerò nel mondo basso,blank,Inferno,8
Chi m'ha negate le dolenti case,blank,Inferno,8
Tu perch' io m'adiri non sbigottir ch'io vincerò la prova qual ch'a la difension dentro s'aggiri Questa lor tracotanza non è nova ché già l'usaro a men segreta porta la qual sanza serrame ancor si trova Sovr' essa vedestù la scritta morta e già di qua da lei discende l'erta passando per li cerchi sanza scorta tal che per lui ne fia la terra aperta,blank,Inferno,8
Pur a noi converrà vincer la punga,blank,Inferno,9
se non Tal ne s'offerse Oh quanto tarda a me ch'altri qui giunga,blank,Inferno,9
In questo fondo de la trista conca discende mai alcun del primo grado che sol per pena ha la speranza cionca,blank,Inferno,9
Di rado incontra,blank,Inferno,9
che di noi faccia il cammino alcun per qual io vado Ver è ch'altra fiata qua giù fui congiurato da quella Eritón cruda che richiamava l'ombre a' corpi sui Di poco era di me la carne nuda ch'ella mi fece intrar dentr' a quel muro per trarne un spirto del cerchio di Giuda Quell' è 'l più basso loco e 'l più oscuro e 'l più lontan dal ciel che tutto gira ben so 'l cammin però ti fa sicuro Questa palude che 'l gran puzzo spira cigne dintorno la città dolente u' non potemo intrare omai sanz' ira,blank,Inferno,9
Guarda,blank,Inferno,9
le feroci Erine Quest' è Megera dal sinistro canto quella che piange dal destro è Aletto Tesifón è nel mezzo,blank,Inferno,9
Vegna Medusa sì 'l farem di smalto,blank,Inferno,9
mal non vengiammo in Tesëo l'assalto,blank,Inferno,9
Volgiti 'n dietro e tien lo viso chiuso ché se 'l Gorgón si mostra e tu 'l vedessi nulla sarebbe di tornar mai suso,blank,Inferno,9
Or drizza il nerbo del viso su per quella schiuma antica per indi ove quel fummo è più acerbo,blank,Inferno,9
O cacciati del ciel gente dispetta,blank,Inferno,9
ond' esta oltracotanza in voi s'alletta Perché recalcitrate a quella voglia a cui non puote il fin mai esser mozzo e che più volte v'ha cresciuta doglia Che giova ne le fata dar di cozzo Cerbero vostro se ben vi ricorda ne porta ancor pelato il mento e 'l gozzo,blank,Inferno,9
Maestro quai son quelle genti che seppellite dentro da quell' arche si fan sentir coi sospiri dolenti,blank,Inferno,9
Qui son li eresïarche con lor seguaci d'ogne setta e molto più che non credi son le tombe carche Simile qui con simile è sepolto e i monimenti son più e men caldi,blank,Inferno,9
O virtù somma che per li empi giri mi volvi,blank,Inferno,10
com' a te piace parlami e sodisfammi a' miei disiri La gente che per li sepolcri giace potrebbesi veder già son levati tutt' i coperchi e nessun guardia face,blank,Inferno,10
Tutti saran serrati quando di Iosafàt qui torneranno coi corpi che là sù hanno lasciati Suo cimitero da questa parte hanno con Epicuro tutti suoi seguaci che l'anima col corpo morta fanno Però a la dimanda che mi faci quinc' entro satisfatto sarà tosto e al disio ancor che tu mi taci,blank,Inferno,10
Buon duca non tegno riposto a te mio cuor se non per dicer poco e tu m'hai non pur mo a ciò disposto,blank,Inferno,10
O Tosco che per la città del foco vivo ten vai così parlando onesto piacciati di restare in questo loco La tua loquela ti fa manifesto di quella nobil patrïa natio a la qual forse fui troppo molesto,blank,Inferno,10
Volgiti Che fai Vedi là Farinata che s'è dritto da la cintola in sù tutto 'l vedrai,blank,Inferno,10
Le parole tue sien conte,blank,Inferno,10
Chi fuor li maggior tui,blank,Inferno,10
Fieramente furo avversi a me e a miei primi e a mia parte sì che per due fïate li dispersi,blank,Inferno,10
S'ei fur cacciati ei tornar d'ogne parte,blank,Inferno,10
l'una e l'altra fïata ma i vostri non appreser ben quell' arte,blank,Inferno,10
Se per questo cieco carcere vai per altezza d'ingegno mio figlio ov' è e perché non è teco,blank,Inferno,10
Da me stesso non vegno colui ch'attende là per qui mi mena forse cui Guido vostro ebbe a disdegno,blank,Inferno,10
Come dicesti 'elli ebbe' non viv' elli ancora non fiere li occhi suoi lo dolce lume,blank,Inferno,10
S'elli han quell' arte,blank,Inferno,10
male appresa ciò mi tormenta più che questo letto Ma non cinquanta volte fia raccesa la faccia de la donna che qui regge che tu saprai quanto quell' arte pesa E se tu mai nel dolce mondo regge dimmi perché quel popolo è sì empio incontr' a' miei in ciascuna sua legge,blank,Inferno,10
Lo strazio e 'l grande scempio che fece l'Arbia colorata in rosso tal orazion fa far nel nostro tempio,blank,Inferno,10
A ciò non fu' io sol,blank,Inferno,10
né certo sanza cagion con li altri sarei mosso Ma fu' io solo là dove sofferto fu per ciascun di tòrre via Fiorenza colui che la difesi a viso aperto,blank,Inferno,10
Deh se riposi mai vostra semenza,blank,Inferno,10
solvetemi quel nodo che qui ha 'nviluppata mia sentenza El par che voi veggiate se ben odo dinanzi quel che 'l tempo seco adduce e nel presente tenete altro modo,blank,Inferno,10
Noi veggiam come quei c'ha mala luce le cose,blank,Inferno,10
che ne son lontano cotanto ancor ne splende il sommo duce Quando s'appressano o son tutto è vano nostro intelletto e s'altri non ci apporta nulla sapem di vostro stato umano Però comprender puoi che tutta morta fia nostra conoscenza da quel punto che del futuro fia chiusa la porta,blank,Inferno,10
Or direte dunque a quel caduto che 'l suo nato è co' vivi ancor congiunto e s'i' fui dianzi a la risposta muto fate i saper che 'l fei perché pensava già ne l'error che m'avete soluto,blank,Inferno,10
Qui con più di mille giaccio qua dentro è 'l secondo Federico e 'l Cardinale e de li altri mi taccio,blank,Inferno,10
Perché se' tu sì smarrito,blank,Inferno,10
La mente tua conservi quel ch'udito hai contra te,blank,Inferno,10
e ora attendi qui,blank,Inferno,10
quando sarai dinanzi al dolce raggio di quella il cui bell' occhio tutto vede da lei saprai di tua vita il vïaggio,blank,Inferno,10
Anastasio papa guardo lo qual trasse Fotin de la via dritta,blank,Inferno,11
Lo nostro scender conviene esser tardo sì che s'ausi un poco in prima il senso al tristo fiato e poi no i fia riguardo,blank,Inferno,11
Alcun compenso,blank,Inferno,11
trova che 'l tempo non passi perduto,blank,Inferno,11
Vedi ch'a ciò penso,blank,Inferno,11
Figliuol mio dentro da cotesti sassi,blank,Inferno,11
son tre cerchietti di grado in grado come que' che lassi Tutti son pien di spirti maladetti ma perché poi ti basti pur la vista intendi come e perché son costretti D'ogne malizia ch'odio in cielo acquista ingiuria è 'l fine ed ogne fin cotale o con forza o con frode altrui contrista Ma perché frode è de l'uom proprio male più spiace a Dio e però stan di sotto li frodolenti e più dolor li assale Di vïolenti il primo cerchio è tutto ma perché si fa forza a tre persone in tre gironi è distinto e costrutto A Dio a sé al prossimo si pòne far forza dico in loro e in lor cose come udirai con aperta ragione Morte per forza e ferute dogliose nel prossimo si danno e nel suo avere ruine incendi e tollette dannose onde omicide e ciascun che mal fiere guastatori e predon tutti tormenta lo giron primo per diverse schiere Puote omo avere in sé man vïolenta e ne' suoi beni e però nel secondo giron convien che sanza pro si penta qualunque priva sé del vostro mondo biscazza e fonde la sua facultade e piange là dov' esser de' giocondo Puossi far forza ne la deïtade col cor negando e bestemmiando quella e spregiando natura e sua bontade e però lo minor giron suggella del segno suo e Soddoma e Caorsa e chi spregiando Dio col cor favella La frode ond' ogne coscïenza è morsa può l'omo usare in colui che 'n lui fida e in quel che fidanza non imborsa Questo modo di retro par ch'incida pur lo vinco d'amor che fa natura onde nel cerchio secondo s'annida ipocresia lusinghe e chi affattura falsità ladroneccio e simonia ruffian baratti e simile lordura Per l'altro modo quell' amor s'oblia che fa natura e quel ch'è poi aggiunto di che la fede spezïal si cria onde nel cerchio minore ov' è 'l punto de l'universo in su che Dite siede qualunque trade in etterno è consunto,blank,Inferno,11
Maestro assai chiara procede la tua ragione e assai ben distingue questo baràtro e 'l popol ch'e' possiede Ma dimmi quei de la palude pingue che mena il vento e che batte la pioggia e che s'incontran con sì aspre lingue perché non dentro da la città roggia sono ei puniti se Dio li ha in ira e se non li ha perché sono a tal foggia,blank,Inferno,11
Perché tanto delira,blank,Inferno,11
lo 'ngegno tuo da quel che sòle o ver la mente dove altrove mira Non ti rimembra di quelle parole con le quai la tua Etica pertratta le tre disposizion che 'l ciel non vole incontenenza malizia e la matta bestialitade e come incontenenza men Dio offende e men biasimo accatta Se tu riguardi ben questa sentenza e rechiti a la mente chi son quelli che sù di fuor sostegnon penitenza tu vedrai ben perché da questi felli sien dipartiti e perché men crucciata la divina vendetta li martelli,blank,Inferno,11
O sol che sani ogne vista turbata tu mi contenti sì quando tu solvi che non men che saver dubbiar m'aggrata Ancora in dietro un poco ti rivolvi,blank,Inferno,11
là dove di' ch'usura offende la divina bontade e 'l groppo solvi,blank,Inferno,11
Filosofia,blank,Inferno,11
